City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Codrington,AU,75.0,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
453,Hue,VN,78.91,broken clouds,16.4667,107.6,Saigon Morin Hotel
468,Morondava,MG,82.2,light rain,-20.2833,44.2833,La Case Bambou
474,Kloulklubed,PW,86.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
475,Quarai,BR,75.4,broken clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
480,Vao,NC,80.64,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
481,Kavieng,PG,82.44,light rain,-2.5744,150.7967,Nusa Island Retreat
484,Nizamabad,IN,80.51,overcast clouds,18.6667,78.1167,Hostel Luxury A/C
488,Upington,ZA,79.18,clear sky,-28.4478,21.2561,River Place Manor
501,Bacolod,PH,86.27,overcast clouds,10.6667,122.95,Planta Hotel & Residences
502,Vung Tau,VN,82.54,overcast clouds,10.346,107.0843,Green hotel
511,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
514,Tiarei,PF,78.82,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
516,Camocim,BR,75.83,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
519,Tabou,CI,77.32,broken clouds,4.423,-7.3528,hotêl doufoulougou
522,Byron Bay,AU,78.06,broken clouds,-28.65,153.6167,Backpackers Inn
528,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
529,Gizo,SB,83.23,overcast clouds,-8.103,156.8419,Imagination Island
531,Antalaha,MG,83.03,few clouds,-14.9003,50.2788,Hotel Vitasoa
538,Bambanglipuro,ID,84.87,overcast clouds,-7.95,110.2833,Puri Brata
539,Labuhan,ID,80.89,overcast clouds,-6.8844,112.2051,DoubleFAG
540,Sola,VU,79.39,moderate rain,-13.8833,167.55,Leumerus Bungalows
545,La Palma,US,77.41,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
546,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
547,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
549,Vanimo,PG,79.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
550,Mount Gambier,AU,85.91,clear sky,-37.8333,140.7667,The Commodore
552,Gadag,IN,78.58,scattered clouds,15.4167,75.6167,Keshav Clarks Inn
559,Paracuru,BR,80.62,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
562,Dao,PH,79.95,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
567,Ewa Beach,US,75.43,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
568,Digapahandi,IN,80.76,broken clouds,19.3667,84.5833,Tiffin Hotel
569,Isiro,CD,75.31,overcast clouds,2.7739,27.616,Guest House Hewa Bora
570,Acajutla,SV,77.81,clear sky,13.5928,-89.8275,Laureles
574,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
576,Jatiroto,ID,82.67,overcast clouds,-7.8833,111.1167,Mushola Al Huda
577,Conakry,GN,77.11,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
581,Quelimane,MZ,75.15,broken clouds,-17.8786,36.8883,Hotel Flamingo
590,Dingle,PH,83.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
591,Batemans Bay,AU,75.2,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
594,Matara,LK,87.55,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
598,Wagga Wagga,AU,85.84,clear sky,-35.1167,147.3667,The Club Motel and Apartments
599,Tamandare,BR,77.58,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
601,Weligama,LK,86.63,overcast clouds,5.9667,80.4167,Weligama Bay Resort
607,Vaitape,PF,81.75,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
615,Port Antonio,JM,78.71,clear sky,18.18,-76.4612,The Trident Hotel
617,Ngunguru,NZ,77.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
619,Bonthe,SL,75.72,few clouds,7.5264,-12.505,Bonthe Holiday Village
629,Meulaboh,ID,84.38,overcast clouds,4.1363,96.1285,Kost Pria
633,Lakatoro,VU,82.74,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
645,Bontang,ID,79.23,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
651,Kefamenanu,ID,82.8,broken clouds,-9.4467,124.4781,Sokowindo Losmen
662,Piacabucu,BR,78.39,broken clouds,-10.4056,-36.4344,Piaçabuçu News
668,Thrissur,IN,86.27,few clouds,10.5167,76.2167,Joys Palace
670,Maragogi,BR,77.2,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
674,Voh,NC,81.84,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
678,Saint-Joseph,RE,82.78,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
686,Sinnamary,GF,75.72,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
695,Atambua,ID,81.99,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
705,Daru,PG,83.77,overcast clouds,-9.0763,143.2092,Daru Lodge
